time,models,k,temp,seed,instruction,task,end_err,min_dist,solve_time,N,machine
2025-09-04 11:22:01,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.39297408817085455,0.687297218053452,0.33902573585510254,70,Windows-10-10.0.26100-SP0
2025-09-04 12:54:51,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.39297408817085455,0.687297218053452,0.2693450450897217,70,Windows-10-10.0.26100-SP0
2025-09-04 12:55:38,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.39297408817085455,0.687297218053452,0.29016590118408203,70,Windows-10-10.0.26100-SP0
2025-09-04 13:20:35,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.39297408817085455,0.687297218053452,0.22072172164916992,70,Windows-10-10.0.26100-SP0
2025-09-04 13:20:56,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.36158609559728705,0.6479388678902015,0.22192978858947754,70,Windows-10-10.0.26100-SP0
2025-09-04 13:21:58,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.2m,_tmp_task.json,0.36158609559728705,0.6479388678902015,0.1954793930053711,70,Windows-10-10.0.26100-SP0
2025-09-04 13:24:22,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.4m，更保守一些,_tmp_task.json,0.39297408817085455,0.687297218053452,0.2193586826324463,70,Windows-10-10.0.26100-SP0
2025-09-04 13:28:22,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.2m，更保守一些,_tmp_task.json,0.36158609559728705,0.6479388678902015,0.17453551292419434,70,Windows-10-10.0.26100-SP0
2025-09-04 13:28:47,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.2m，更保守一些,_tmp_task.json,0.474321047881294,0.6599932519950984,0.586470365524292,70,Windows-10-10.0.26100-SP0
2025-09-04 13:30:15,qwen2.5:7b-instruct,1,0.0,42,尽快到达，安全距离0.2m，更保守一些,_tmp_task.json,0.474321047881294,0.6599932519950984,0.5527937412261963,70,Windows-10-10.0.26100-SP0
2025-09-04 13:34:50,qwen2.5:7b-instruct,1,0.0,42,缓慢到达，安全距离0.9m,_tmp_task.json,2.23606797749979,1.3,0.016789674758911133,70,Windows-10-10.0.26100-SP0
2025-09-04 13:35:30,qwen2.5:7b-instruct,1,0.0,42,缓慢到达，安全距离0.2m,_tmp_task.json,0.40643440472511844,0.7140675493970321,0.19626641273498535,70,Windows-10-10.0.26100-SP0
2025-09-04 13:48:04,qwen2.5:7b-instruct,1,0.0,42,到达目标点,_tmp_task.json,0.26067402995583494,0.647292410747122,0.13586807250976562,70,Windows-10-10.0.26100-SP0
2025-09-04 13:49:00,qwen2.5:7b-instruct,1,0.0,42,快速到达目标点,_tmp_task.json,0.26067402995583494,0.647292410747122,0.10836100578308105,70,Windows-10-10.0.26100-SP0
